date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:52	61313/61313	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Jan%202018%2011:39:20%20GMT	https://dokari.co.id/	/home/rifky/websites/dokari/dokari.co.id/index.html	(from )
14:48:53	67/67	---MC-	200	added ('OK')	text/plain	date:Sun,%2020%20Jan%202019%2007:48:51%20GMT	https://dokari.co.id/robots.txt		(from )
14:49:00	381769/381769	---M--	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202018%2011:39:20%20GMT	http://dokari.co.id/wp-content/cache/wpfc-minified/c16f71ece91d518912f60200f0d7c460/1517225960index.css	/home/rifky/websites/dokari/dokari.co.id/wp-content/cache/wpfc-minified/c16f71ece91d518912f60200f0d7c460/1517225960index.css	(from https://dokari.co.id/)
14:49:00	1483/1483	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2011:37:07%20GMT	https://dokari.co.id/wp-content/plugins/super-socializer/images/close.png	/home/rifky/websites/dokari/dokari.co.id/wp-content/plugins/super-socializer/images/close.png	(from https://dokari.co.id/)
14:49:00	946/946	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2011:37:07%20GMT	https://dokari.co.id/wp-content/plugins/super-socializer/images/logo.png	/home/rifky/websites/dokari/dokari.co.id/wp-content/plugins/super-socializer/images/logo.png	(from https://dokari.co.id/)
14:49:08	97262/97262	---M--	200	added ('OK')	application/javascript	date:Fri,%2029%20Sep%202017%2010:27:17%20GMT	http://dokari.co.id/wp-content/cache/wpfc-minified/b52c8d680f4f1e891d5a1c79875e8df2/1506680837index.js	/home/rifky/websites/dokari/dokari.co.id/wp-content/cache/wpfc-minified/b52c8d680f4f1e891d5a1c79875e8df2/1506680837index.js	(from https://dokari.co.id/)
14:49:08	812/812	---MC-	200	added ('OK')	text/xml	date:Sun,%2020%20Jan%202019%2007:49:02%20GMT	https://dokari.co.id/xmlrpc.php?rsd	/home/rifky/websites/dokari/dokari.co.id/xmlrpc0db0.php	(from https://dokari.co.id/)
14:49:08	731/731	---MC-	200	added ('OK')	application/rss+xml	etag:%225f9bdbea155ffe8aa73511dd53a53d42%22	https://dokari.co.id/comments/feed/	/home/rifky/websites/dokari/dokari.co.id/comments/feed/index.html	(from https://dokari.co.id/)
14:49:08	23138/23138	---MC-	200	added ('OK')	application/rss+xml	etag:%228d228b8a68fd386ccff43c21761c5cb3%22	https://dokari.co.id/feed/	/home/rifky/websites/dokari/dokari.co.id/feed/index.html	(from https://dokari.co.id/)
14:49:08	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2018:19:12%20GMT	https://dokari.co.id/wp-includes/wlwmanifest.xml	/home/rifky/websites/dokari/dokari.co.id/wp-includes/wlwmanifest.xml	(from https://dokari.co.id/)
14:49:10	2178/2178	---MC-	200	added ('OK')	application/json	date:Sun,%2020%20Jan%202019%2007:49:09%20GMT	https://dokari.co.id/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdokari.co.id%2F	/home/rifky/websites/dokari/dokari.co.id/wp-json/oembed/1.0/embedd41e.json	(from https://dokari.co.id/)
